country,code,region,income_group,income_group_n
Ecuador,ECU,Latin America & Caribbean,Upper middle income,3
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,3
Eritrea,ERI,Sub-Saharan Africa,Low income,1
Estonia,EST,Europe & Central Asia,High income,4
Ethiopia,ETH,Sub-Saharan Africa,Low income,1
Faroe Islands,FRO,Europe & Central Asia,High income,4
Fiji,FJI,East Asia & Pacific,Upper middle income,3
Finland,FIN,Europe & Central Asia,High income,4
France,FRA,Europe & Central Asia,High income,4
French Polynesia,PYF,East Asia & Pacific,High income,4
Gabon,GAB,Sub-Saharan Africa,Upper middle income,3
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1
Georgia,GEO,Europe & Central Asia,Upper middle income,3
Germany,DEU,Europe & Central Asia,High income,4
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2
Gibraltar,GIB,Europe & Central Asia,High income,4
Greece,GRC,Europe & Central Asia,High income,4
Greenland,GRL,Europe & Central Asia,High income,4
Grenada,GRD,Latin America & Caribbean,Upper middle income,3
Guam,GUM,East Asia & Pacific,High income,4
Guatemala,GTM,Latin America & Caribbean,Lower middle income,2
Guinea,GIN,Sub-Saharan Africa,Low income,1
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1
Guyana,GUY,Latin America & Caribbean,Upper middle income,3
Haiti,HTI,Latin America & Caribbean,Low income,1
Honduras,HND,Latin America & Caribbean,Lower middle income,2
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,4
Hungary,HUN,Europe & Central Asia,High income,4
Iceland,ISL,Europe & Central Asia,High income,4
India,IND,South Asia,Lower middle income,2
Indonesia,IDN,East Asia & Pacific,Lower middle income,2
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,3
Iraq,IRQ,Middle East & North Africa,Upper middle income,3
Ireland,IRL,Europe & Central Asia,High income,4
Isle of Man,IMY,Europe & Central Asia,High income,4
Israel,ISR,Middle East & North Africa,High income,4
Italy,ITA,Europe & Central Asia,High income,4
Jamaica,JAM,Latin America & Caribbean,Upper middle income,3
Japan,JPN,East Asia & Pacific,High income,4
Jordan,JOR,Middle East & North Africa,Upper middle income,3
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,3
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2
Kiribati,KIR,East Asia & Pacific,Lower middle income,2
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,1
"Korea, Rep.",KOR,East Asia & Pacific,High income,4
Kosovo,KSV,Europe & Central Asia,Lower middle income,2
Kuwait,KWT,Middle East & North Africa,High income,4
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2
Latvia,LVA,Europe & Central Asia,High income,4
Lebanon,LBN,Middle East & North Africa,Upper middle income,3
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2
Liberia,LBR,Sub-Saharan Africa,Low income,1
Libya,LBY,Middle East & North Africa,Upper middle income,3
Liechtenstein,LIE,Europe & Central Asia,High income,4
Lithuania,LTU,Europe & Central Asia,High income,4
Luxembourg,LUX,Europe & Central Asia,High income,4
"Macao SAR, China",MAC,East Asia & Pacific,High income,4
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,3
Madagascar,MDG,Sub-Saharan Africa,Low income,1
Malawi,MWI,Sub-Saharan Africa,Low income,1
Malaysia,MYS,East Asia & Pacific,Upper middle income,3
Maldives,MDV,South Asia,Upper middle income,3
Mali,MLI,Sub-Saharan Africa,Low income,1
Malta,MLT,Middle East & North Africa,High income,4
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,3
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,3
Mexico,MEX,Latin America & Caribbean,Upper middle income,3
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2
Moldova,MDA,Europe & Central Asia,Lower middle income,2
Monaco,MCO,Europe & Central Asia,High income,4
Mongolia,MNG,East Asia & Pacific,Lower middle income,2
Montenegro,MNE,Europe & Central Asia,Upper middle income,3
Morocco,MAR,Middle East & North Africa,Lower middle income,2
Mozambique,MOZ,Sub-Saharan Africa,Low income,1
Myanmar,MMR,East Asia & Pacific,Lower middle income,2
Namibia,NAM,Sub-Saharan Africa,Upper middle income,3
Nauru,NRU,East Asia & Pacific,High income,4
Nepal,NPL,South Asia,Low income,1
Netherlands,NLD,Europe & Central Asia,High income,4
New Caledonia,NCL,East Asia & Pacific,High income,4
New Zealand,NZL,East Asia & Pacific,High income,4
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2
Niger,NER,Sub-Saharan Africa,Low income,1
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2
Northern Mariana Islands,MNP,East Asia & Pacific,High income,4
Norway,NOR,Europe & Central Asia,High income,4
Oman,OMN,Middle East & North Africa,High income,4
Pakistan,PAK,South Asia,Lower middle income,2
Palau,PLW,East Asia & Pacific,Upper middle income,3
Panama,PAN,Latin America & Caribbean,Upper middle income,3
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2
Paraguay,PRY,Latin America & Caribbean,Upper middle income,3
Peru,PER,Latin America & Caribbean,Upper middle income,3
Philippines,PHL,East Asia & Pacific,Lower middle income,2
Poland,POL,Europe & Central Asia,High income,4
Portugal,PRT,Europe & Central Asia,High income,4
Puerto Rico,PRI,Latin America & Caribbean,High income,4
Qatar,QAT,Middle East & North Africa,High income,4
Romania,ROM,Europe & Central Asia,Upper middle income,3
Russian Federation,RUS,Europe & Central Asia,Upper middle income,3
Rwanda,RWA,Sub-Saharan Africa,Low income,1
Samoa,WSM,East Asia & Pacific,Lower middle income,2
San Marino,SMR,Europe & Central Asia,High income,4
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income,2
Saudi Arabia,SAU,Middle East & North Africa,High income,4
Senegal,SEN,Sub-Saharan Africa,Low income,1
Serbia,SRB,Europe & Central Asia,Upper middle income,3
Seychelles,SYC,Sub-Saharan Africa,High income,4
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1
Singapore,SGP,East Asia & Pacific,High income,4
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,4
Slovak Republic,SVK,Europe & Central Asia,High income,4
Slovenia,SVN,Europe & Central Asia,High income,4
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2
Somalia,SOM,Sub-Saharan Africa,Low income,1
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,3
South Sudan,SSD,Sub-Saharan Africa,Low income,1
Spain,ESP,Europe & Central Asia,High income,4
Sri Lanka,LKA,South Asia,Lower middle income,2
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,4
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,3
St. Martin (French part),MAF,Latin America & Caribbean,High income,4
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,3
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2
Suriname,SUR,Latin America & Caribbean,Upper middle income,3
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,2
Sweden,SWE,Europe & Central Asia,High income,4
Switzerland,CHE,Europe & Central Asia,High income,4
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2
"Taiwan, China",TWN,East Asia & Pacific,High income,4
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2
Tanzania,TZA,Sub-Saharan Africa,Low income,1
Thailand,THA,East Asia & Pacific,Upper middle income,3
Timor-Leste,TMP,East Asia & Pacific,Lower middle income,2
Togo,TGO,Sub-Saharan Africa,Low income,1
Tonga,TON,East Asia & Pacific,Lower middle income,2
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,4
Tunisia,TUN,Middle East & North Africa,Lower middle income,2
Turkey,TUR,Europe & Central Asia,Upper middle income,3
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,3
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,4
Tuvalu,TUV,East Asia & Pacific,Upper middle income,3
Uganda,UGA,Sub-Saharan Africa,Low income,1
Ukraine,UKR,Europe & Central Asia,Lower middle income,2
United Arab Emirates,ARE,Middle East & North Africa,High income,4
United Kingdom,GBR,Europe & Central Asia,High income,4
United States,USA,North America,High income,4
Uruguay,URY,Latin America & Caribbean,High income,4
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,3
Vietnam,VNM,East Asia & Pacific,Lower middle income,2
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,4
West Bank and Gaza,WBG,Middle East & North Africa,Lower middle income,2
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,2
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1
