STATE,YEAR,NAME,TOPIC,TOPIC #2,Title,RELEVANT TEXT,DESCRIPTION,URL
Alabama,2018,Ala. Act 2018 - 395,Task Force,,Alabama Broadband Accessibility Act,"Section 5. (a) There is created the Alabama Rural Broadband Oversight Committee. The oversight committee shall consist of the Chair of the House Ways and Means Education Committee or designee, the Chair of the Senate Finance and Taxation Education Committee or designee, two members appointed by the Speaker of the House of Representatives, two members appointed by the President Pro Tempore of the Senate, and the Director of ADECA or his or her designee. The oversight committee shall be charged with meeting at least annually and providing general oversight of the implementation and recommending further statutory changes to promote rural broadband development.",Creates the Alabama Rural Broadband Oversight Committee to provide general oversight and recommend statutory changes to promote rural broadband deployment. ,http://arc-sos.state.al.us/cgi/actdetail.mbr/detail?year=2018&act=%20395&page=subject
Alabama,2017,Executive Order 704,Agency,,Executive Order 704,"Be it further ordered, that the Alabama Department of Economic and Community Affairs hereby assumes all the powers, duties, responsibilities, authority, and obligations heretofore belonging to the Office of Broadband Development, created by Executive Order Number 9, dated July 15, 2016.",Assigns responsibility for broadband to ADECA,Executive Order 704
Alaska,2017,HB 57,Legislative Intent,,"Department of Commerce, Community and Economic Development","It is the intent of the legislature that the department include expanding broadband access across Alaska as a goal in its comprehensive economic development strategy, and provide to the House Finance Committee, the Senate Finance Committee and the Legislative Finance Division, by December 1, 2017, strategies for promoting statewide broadband infrastructure and financing.","Declares that the state legislature wants the Department of Commerce, Community, and Economic Development to include broadband expansion in its comprehensive economic development strategy and write strategies for expansion.",http://www.akleg.gov/basis/Bill/Text/30?Hsid=HB0057Z
Alaska,2017,HB 57,Legislative Intent,,Regulatory Commission of Alaska,"It is the intent of the legislature that the Regulatory Commission of Alaska provide to the House Finance Committee, the Senate Finance Committee and the Legislative Finance Division, by December 1, 2017, an analysis of Alaska's current broadband coverage and providers' planned coverage expansions, and a description of the remaining gaps in statewide broadband infrastructure and financing.   ",Declares that the state legislature wants the Regulatory Commission to report on the state of broadband in Alaska and project future deployments by providers.,http://www.akleg.gov/basis/Bill/Text/30?Hsid=HB0057Z
Arizona,,Ariz. Rev. Stat. 9-591 et. seq. ,Small cell facilities,,Use of Public Highways by Wireless Providers,"A. This section applies to the activities of a wireless provider within a right-of-way. B. An authority may not enter into an exclusive arrangement with a wireless provider for use of a right-of-way for any of the following: 1. The construction, installation, maintenance, modification, operation or replacement of utility poles or monopoles. 2. The collocation of small wireless facilities on utility poles or wireless support structures. 3. The collocation of wireless facilities on monopoles. C. An authority may charge a wireless provider a rate or fee for the use of a right-of-way for the construction, installation, maintenance, modification, operation or replacement of a utility pole in the right-of-way or the collocation of a small wireless facility in the right-of-way, only if the authority charges other communications service providers or publicly, cooperatively or municipally owned utilities for the use of the right-of-way and the authority has the legal authority to do so.  If an authority charges a rate or fee pursuant to this section, the rate or fee for a wireless provider must be: 1. Limited to not more than the direct and actual cost of managing the right-of-way. 2. Competitively neutral in regard to other users of the right-of-way, including investor-owned, authority-owned or cooperatively owned entities, unless other users are exempt from such rates or fees under applicable law. D. A rate or fee charged pursuant to subsection C of this section may not do any of the following: 1. Result in a double recovery where existing rates, fees or taxes already recover the direct and actual costs of managing a right-of-way. 2. Be in the form of a franchise or other fee based on revenue or customer counts. 3. Be unreasonable or discriminatory. 4. Exceed an annual amount equal to fifty dollars multiplied by the number of small wireless facilities that are in the authority's geographic jurisdiction and that are placed by the wireless provider in the right-of-way. E. An authority shall establish and make available rates, fees and terms for all of the following, within six months after August 9, 2017 or three months after receiving the first request by a wireless provider, whichever is later: 1. The construction, installation, mounting, maintenance. F. The rates, fees and terms established pursuant to subsection E of this section must be made available for acceptance by a wireless provider. At the wireless provider's option, a wireless provider may request different or additional terms that the parties shall negotiate in good faith. Documents that reflect rates, fees and terms with each wireless provider are public records.  Rates, fees and terms must comply with this article, and the terms: 1. May not be unreasonable or discriminatory. 2. May include requirements applicable to other users of the right-of-way. 3. May require that the wireless provider's operation of the small wireless facilities in the right-of-way does not interfere with the authority's public safety communications. 4. Subject to subsection K of this section and section 9-593, subsection F, may not require the placement of small wireless facilities on any specific utility pole or category of poles or require multiple antenna systems on a single utility pole. 5. Subject to subsection K of this section and section 9-593, subsection F, may not limit the placement of small wireless facilities by minimum separation distances.","Addresses activities of wireless providers in the right-of-way, including small cell wireless facilities and wireless facilities. Allows political subdivisions to charge a fee for right-of-way access as long as that fee is competitively neutral, non-discriminatory, and limited to the direct and actual cost of managing the right-of-way. Fees cannot exceed an annual amount of $50 times the number of small cell facilities placed in the right-of-way.  Addresses requirements for zoning review, including that co-located small wireless facilities are considered permitted uses in any zone and not subject to zoning review or approval; outlines review timelines and deems applications not reviewed within these timelines granted. Allows providers to submit consolidated applications for up to 25 small cell facilities and allows political subdivisions to remove a facility from an application and treat separately if the information provided is incomplete.  Further allows the political subdivision to issue separate permits for each collocation in a consolidated application.  Limits the application fee to $100 for up to five small cell facilities and $50 for each additional facility on an application. Does not allow the political subdivision to request unrelated services, including in-kind contributions.  Allows the political subdivision to adopt screening or landscaping standards and setback of fall zone requirements. Provisions outlined in the article do not apply to political subdivisions within ten miles of the border of Mexico that have or are negotiative contracts prior to  July 1, 2018 that supports national security objective along United States-Mexico border.",https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/9/00591.htm
Arizona,,Ariz. Rev. Stat. 11-1801 et seq. ,Small cell facilities,,Wireless Structures and Facilities,"A. A county may not enter into an exclusive arrangement with any wireless provider for use of a right-of-way for the construction, operation or maintenance of utility poles or the collocation of small wireless facilities on utility poles or wireless support structures. B. Subject to subsection C of this section, a county may require a permit and charge a fee for processing an application by a wireless provider and conducting associated inspections for the installation, modification or replacement of a utility pole or the collocation of a small wireless facility on a utility pole or a wireless support structure in a right-of-way. Any fee charged pursuant to this section must be reasonable and conform to authorized and published fees for similar permits issued by the county and may not exceed one hundred dollars per collocation or installation. C. For the collocation of a small wireless facility on a utility pole or wireless support structure in the right-of-way that is not owned by the county and that does not include ground-mounted equipment, the county may not charge a wireless provider a rate or fee and may not require a permit.  D. A county may charge a wireless provider a rate for the wireless provider's use of a right-of-way in accordance with this section.  The county may: 1. For the collocation of a small wireless facility on a utility pole or wireless support structure that is not owned by the county that includes ground-mounted equipment, charge a rate for the ground-mounted equipment using the methodology described in paragraph 5 of this subsection, require an application and charge a fee.  The rate for ground-mounted equipment may not exceed one hundred seventy-five dollars. 2. For the collocation of a small wireless facility on a county utility pole that does not include ground-mounted equipment, charge a rate using the methodology described in paragraph 5 of this subsection that does not exceed twenty dollars. If the collocation includes ground-mounted equipment, the county may charge an additional rate using the methodology described in paragraph 5 of this subsection.  The rate for ground-mounted equipment may not exceed one hundred seventy-five dollars. 3. For the installation of a utility pole, together with the collocation of small wireless facilities, that will not be owned by the county, charge a wireless provider a rate using the methodology described in paragraph 5 of this subsection.  The rate may not exceed one hundred seventy-five dollars.  An additional rate may not be charged for collocated small wireless facilities, including ground-mounted equipment that is requested in the application. 4. For the replacement of a utility pole owned by the county, require the applicant to comply with the county's processes and requirements for installing such structures.  The county may not charge a rate for the replaced utility pole.  5. Charge a rate that has been lawfully adopted and published.  The rate shall be based on the average fair market value of the county right-of-way that is suitable for the deployment of wireless facilities and utility poles. All materials used to derive these values shall be readily available to the public at least ninety days before the adoption of the rate. The rate adopted shall be based on ninety percent of the average fair market values that have been determined and are subject to the applicable rate caps in paragraphs 1, 2 and 3 of this subsection. E. A county shall: 1. Adopt an ordinance establishing rates, fees and terms for the following: (a) The installation, modification or replacement by a wireless provider of a utility pole located in a right-of-way. (b) The collocation by a wireless provider of a small wireless facility in a right-of-way. (c) The collocation by a wireless provider of a small wireless facility on a county utility pole.","Addresses wireless provider access to county rights-of-way for construction, operation, and maintenance of utility poles or collocation of small cell facilities on poles or wireless support structures.  Caps permit fees at $100 per collocation or installation.  Allows the county to require an application and charge a fee for ground-mounted equipment located in the right-of-way associated with poles or wireless support structures not owned by the county. Makes collocation of small wireless facilities a permitted use in all zoning districts and does not require approval; makes the installation, modification, or replacement of a utility pole a permitted use in all zoning districts subject only to administrative review unless it would not comply with height, undergrounding, or spacing requirements. Allows applicants to file consolidated applications for the collocation of up to 35 substantially similar small cell facilities.  Allows the county to remove a facility from the consolidated application and to issue separate permits for each collocation that is approved.  Caps application fees at $100 for an application with up to five facilities and $65 for each additional facility. For poles and collocations outside of the right-of-way, requires that the installation and modification of a pole and collocation are permitted uses in every zoning district except single-family residential and are not prohibited use in any zoning district. Allow the county to adopt use-specific standards.  Prohibits a county from requiring services unrelated to the application, including in-kind contributions. ",https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/11/01801.htm
Arizona,,Ariz. Rev. Stat. 15-249.07,Fund - Broadband,,Broadband expansion fund; requirements; disbursements to certified applicants; reports,"A. The broadband expansion fund is established consisting of legislative appropriations.  The department of education shall administer the fund.  Monies in the fund are continuously appropriated and shall be used to provide state matching monies for certified broadband connectivity construction projects for qualified applicants.  Monies in the fund are exempt from the provisions of section 35-190 relating to lapsing of appropriations. B. Qualified applicants for distributions from the broadband expansion fund include schools, school districts, libraries and groups of schools or school districts with broadband connectivity construction projects that are certified by the department and that are eligible for the federal universal service program for schools and libraries known as the e-rate program. C. Notwithstanding subsection A of this section, the first eight million dollars of cumulative state matching contributions for certified broadband connectivity construction projects shall be provided by the corporation commission from the funding mechanism established by the corporation commission in accordance with the federal universal service program. D. The department may disburse monies from the broadband expansion fund to the applicant of a certified broadband connectivity construction project on notification from the universal service administrative company that a project is approved for federal e-rate program monies.  E. An applicant may not receive a total amount from the federal universal service fund, the funding mechanism established by the corporation commission in accordance with the federal universal service program and the broadband expansion fund in excess of the certified broadband connectivity construction project's cost. F. When certifying projects as eligible for funding from the broadband expansion fund, the department shall give priority to applicants with an e-rate program discount rate of at least eighty percent, as defined by the universal service administrative company.","Establishes a broadband expansion fund consisting of legislative appropriations and administered by the Department of Education. The fund is used to provide state matching funds for schools, school districts, libraries and groups of schools and school districts for e-rate eligible broadband connectivity construction projects.",https://www.azleg.gov/search/oop/qfullhit.asp?CiWebHitsFile=/ars/15/00249-07.htm&CiRestriction=broadband
Arizona,,Ariz. Rev. Stat. 15-1261. ,Fund - Other,,E-rate application; fund,A. All school districts and charter schools that are eligible for e-rate priority one funding as authorized by the telecommunications act of 1996 may apply for funding.  Eligible school districts and charter schools may submit applications with assistance of the department of administration. B. All school districts and charter schools that receive e-rate funding shall establish an e-rate fund.  Any monies in the fund may be used to reimburse the school district or charter school for broadband internet and telecommunications costs.,Allows all school districts and charter schools eligible for e-rate priority one funding to apply to the e-rate fund.  School districts and charter schools that receive funding are required to establish an e-rate fund and monies in the fund may be used to reimburse broadband and telecommunications costs. ,https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/15/01261.htm 
Arizona,,Ariz. Rev. Stat. 18-402. ,Fund - Other,,Statewide e-rate program fund,"A. The statewide e-rate program fund is established.  The department shall administer the fund.  The statewide e-rate program fund shall consist of: 1. Monies received pursuant to the e-rate program under the telecommunications act of 1996 or other grants to assist this state in improving broadband internet and telecommunications access for public schools and libraries in this state. 2. Monies received as a result of an intergovernmental agreement between the department and other political subdivisions of this state. 3. Monies received from private grants or donations if designated for the fund by the grantor or donor. B. Monies in the fund shall be used to assist public school districts, charter schools and libraries to submit applications for funding pursuant to subsection C and to fulfill the terms of an intergovernmental agreement or private contract pursuant to subsection D. C. Subject to the conditions of subsection E and in cooperation with the Arizona state library, archives and public records, the department shall develop policies and procedures for the e-rate application for public school districts, charter schools and libraries in this state, including providing technical assistance. D. The department may enter into contracts with private organizations and intergovernmental agreements with other state agencies and political subdivisions of this state to administer the statewide e-rate program. E. Participation in the e-rate program by libraries is voluntary.  The Arizona state library, archives and public records shall determine e-rate eligibility applications.","Establishes a statewide e-rate program fund administered by the Department of Information Technology.  Consists of monies received through the federal e-rate program and other grants received to improve broadband access for schools and libraries, monies received through intergovernmental agreement, and monies received through grants and donations if designated to the fund by the donor. ",https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/18/00402.htm 
Arizona,,Ariz. Rev. Stat. 28-7381,Definition - Broadband,Speed 1,Definitions,"2. ""Broadband service"": (a) Means providing access and transport to the Internet, computer processing, information storage or protocol conversion at a rate of at least one megabit per second in either the upstream or downstream direction, as established by the federal communications commission. (b) Does not include information content or service applications provided over the access service or any intrastate service that was subject to a tariff as of January 1, 2012.",Defines broadband service as service that provides access and transport to the internet at speeds of at least 1mbps in either direction. ,https://www.azleg.gov/search/oop/qfullhit.asp?CiWebHitsFile=/ars/28/07381.htm&CiRestriction=broadband
Arizona,,Ariz. Rev. Stat. 28-7382,Rights-of-way,Dig Once,Broadband conduit installation; rural highway construction projects,"A. The director may install broadband conduit in accordance with this article as part of a covered rural highway construction project if funding is received by the department to cover the cost. B. In carrying out this article, the director may lease the broadband conduit to providers at a cost-based rate and coordinate with providers regarding planning and relocating of broadband conduit and any related provider facilities within the right-of-way at the provider's expense if future highway improvements make the relocations necessary.  The director may limit provider access to any broadband facilities within the right-of-way for initial installation and infrequent access for maintenance purposes and may take other actions necessary to maintain highway safety. C. The director may install broadband conduit without regard to the timing of a related existing road construction project, based on a request and receipt of funding from state entities charged with responsibility for broadband infrastructure and policy.",Allows the Director of Transportation to install broadband conduit as part of a covered rural highway transportation project if the department receives funding to cover the cost or outside of road construction projects if state entities with responsibility for broadband request the conduit and provide funding. Allows the conduit to be leased to broadband providers at a cost-based rate and allows the director to limit provider access to the right-of-way to initial installation and infrequent maintenance activities.  ,https://www.azleg.gov/search/oop/qfullhit.asp?CiWebHitsFile=/ars/28/07382.htm&CiRestriction=broadband
Arkansas,2009,Ark. Code 4-113-102,Definition - Broadband,Speed 1,Definitions,"(1)  ""Broadband"" means any service used to provide Internet access at a minimum speed that is the greater of: (A) Seven hundred sixty-eight kilobites per second (768 kbps) in at least one (1) direction; or (B)  The minimum speed for broadband as defined by regulations of the Federal Communications Commission as of January 1, 2009, or as of a later date if adopted by rule of the Arkansas Broadband Council;","Defines broadband service used to provide internet at a minimum speed of either 768kbps in at least one direction or the minimum speed for broadband as defined by the FCC as of January 1, 2009 or a later data if adopted by rule of the Arkansas Broadband Council, whichever is greater. ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=7d3fbff1-28e2-4ab8-9bcb-ab18bfee7440&nodeid=AAEAAHABCAAD&nodepath=%2FROOT%2FAAE%2FAAEAAH%2FAAEAAHABC%2FAAEAAHABCAAD&level=4&haschildren=&populated=false&title=4-113-102.+Definitions.&config=00JAA2ZjZiM2VhNS0wNTVlLTQ3NzUtYjQzYy0yYWZmODJiODRmMDYKAFBvZENhdGFsb2fXiYCnsel0plIgqpYkw9PK&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A4WVD-4KB0-R03N-608R-00008-00&ecomp=-kL8kkk&prid=d7b634c4-edaf-47da-87f7-6c2c64696dda
Arkansas,2015,Ark. Code 4-113-104,Task Force,,Creation of the Arkansas Broadband Council.,"(a)  The Arkansas Broadband Council is created and shall: (1)  Monitor the broadband-based development efforts of other states and nations in areas such as business, education, and health; (2)  Receive input from all Arkansas broadband stakeholders and advise the Governor and the General Assembly on policies related to broadband in Arkansas; (3)  Serve as the broadband advocate to state agencies and other state entities to communicate the broadband needs of the citizens and organizations of the state that do not have access to broadband service or to broadband service adequate for their needs; and (4)  Have the authority to adopt by rule the minimum speed for the definition of ""broadband"" under § 4-113-102(1) that is provided by the regulations of the Federal Communications Commission. (b)  The council shall include: (1)  One (1) representative from each broadband provider association that exists in the state on July 31, 2007, including without limitation the Arkansas Cable Telecommunications Association and the Arkansas Telecommunications Association; (2)  Three (3) members to be appointed by the Governor; (3)  Three (3) members to be appointed by the President Pro Tempore of the Senate; (4)  Three (3) members to be appointed by the Speaker of the House of Representatives; and (5)  The Executive Director of the Arkansas Economic Development Commission or his or her designee who shall serve as an ex officio member of the council. (c)  The council shall provide: (1)  A written biennial report to the Governor and the General Assembly; and (2)  Interim reports as requested by the Governor or the General Assembly.","Creates the Arkansas Broadband Council to monitor broadband activities in other states and countries, received input from broadband stakeholders, and advise the Governor and General Assembly on broadband policy, serve as a broadband advocate for state agencies and other state entities.  Gives the Council the authority to adopt by rule a minimum speed threshold definition for broadband. Define the composition of the Council and the reporting requirements to the Governor and General Assembly.   ",https://advance.lexis.com/documentpage/?pdmfid=1000516&crid=275694b6-1288-4f04-bfb0-2262e7e1c134&nodeid=AAEAAHABCAAF&nodepath=%2FROOT%2FAAE%2FAAEAAH%2FAAEAAHABC%2FAAEAAHABCAAF&level=4&haschildren=&populated=false&title=4-113-104.+Creation+of+the+Arkansas+Broadband+Council.&indicator=true&config=00JAA2ZjZiM2VhNS0wNTVlLTQ3NzUtYjQzYy0yYWZmODJiODRmMDYKAFBvZENhdGFsb2fXiYCnsel0plIgqpYkw9PK&pddocfullpath=%2Fshared%2Fdocument%2Fstatutes-legislation%2Furn%3AcontentItem%3A4WVD-4KB0-R03N-608T-00008-00&ecomp=-kL8kkk&prid=d7b634c4-edaf-47da-87f7-6c2c64696dda
